time,temperature
2026-01-19T00:00,11.7
2026-01-19T01:00,11.6
2026-01-19T02:00,11.5
2026-01-19T03:00,12.1
2026-01-19T04:00,14.7
2026-01-19T05:00,17.3
2026-01-19T06:00,19.6
2026-01-19T07:00,21.5
2026-01-19T08:00,22.8
2026-01-19T09:00,23.5
2026-01-19T10:00,23.5
2026-01-19T11:00,22.9
2026-01-19T12:00,21.4
2026-01-19T13:00,19.1
2026-01-19T14:00,17.7
2026-01-19T15:00,17.0
2026-01-19T16:00,16.5
2026-01-19T17:00,15.9
2026-01-19T18:00,15.3
2026-01-19T19:00,14.5
2026-01-19T20:00,14.1
2026-01-19T21:00,13.7
2026-01-19T22:00,13.1
2026-01-19T23:00,12.7
2026-01-20T00:00,11.6
2026-01-20T01:00,11.2
2026-01-20T02:00,10.2
2026-01-20T03:00,11.5
2026-01-20T04:00,14.3
2026-01-20T05:00,17.5
2026-01-20T06:00,20.5
2026-01-20T07:00,22.4
2026-01-20T08:00,23.5
2026-01-20T09:00,24.0
2026-01-20T10:00,23.9
2026-01-20T11:00,23.3
2026-01-20T12:00,21.7
2026-01-20T13:00,19.2
2026-01-20T14:00,17.8
2026-01-20T15:00,17.0
2026-01-20T16:00,16.2
2026-01-20T17:00,15.3
2026-01-20T18:00,14.6
2026-01-20T19:00,13.9
2026-01-20T20:00,13.2
2026-01-20T21:00,12.7
2026-01-20T22:00,12.1
2026-01-20T23:00,11.0
2026-01-21T00:00,9.4
2026-01-21T01:00,8.8
2026-01-21T02:00,8.5
2026-01-21T03:00,9.8
2026-01-21T04:00,13.1
2026-01-21T05:00,16.7
2026-01-21T06:00,19.6
2026-01-21T07:00,21.5
2026-01-21T08:00,22.5
2026-01-21T09:00,22.9
2026-01-21T10:00,22.8
2026-01-21T11:00,22.2
2026-01-21T12:00,20.6
2026-01-21T13:00,18.3
2026-01-21T14:00,16.7
2026-01-21T15:00,15.8
2026-01-21T16:00,14.9
2026-01-21T17:00,13.9
2026-01-21T18:00,13.3
2026-01-21T19:00,12.6
2026-01-21T20:00,12.8
2026-01-21T21:00,11.7
2026-01-21T22:00,11.1
2026-01-21T23:00,10.6
2026-01-22T00:00,10.1
2026-01-22T01:00,9.8
2026-01-22T02:00,9.3
2026-01-22T03:00,10.4
2026-01-22T04:00,14.2
2026-01-22T05:00,18.2
2026-01-22T06:00,21.4
2026-01-22T07:00,23.2
2026-01-22T08:00,24.2
2026-01-22T09:00,24.5
2026-01-22T10:00,24.2
2026-01-22T11:00,23.4
2026-01-22T12:00,22.2
2026-01-22T13:00,20.7
2026-01-22T14:00,19.0
2026-01-22T15:00,17.6
2026-01-22T16:00,16.8
2026-01-22T17:00,16.5
2026-01-22T18:00,16.2
2026-01-22T19:00,16.0
2026-01-22T20:00,15.9
2026-01-22T21:00,15.7
2026-01-22T22:00,15.3
2026-01-22T23:00,14.9
2026-01-23T00:00,14.6
2026-01-23T01:00,14.5
2026-01-23T02:00,14.6
2026-01-23T03:00,15.0
2026-01-23T04:00,16.0
2026-01-23T05:00,17.3
2026-01-23T06:00,18.3
2026-01-23T07:00,18.8
2026-01-23T08:00,19.0
2026-01-23T09:00,18.9
2026-01-23T10:00,18.5
2026-01-23T11:00,17.8
2026-01-23T12:00,17.0
2026-01-23T13:00,16.2
2026-01-23T14:00,15.4
2026-01-23T15:00,14.7
2026-01-23T16:00,14.2
2026-01-23T17:00,13.7
2026-01-23T18:00,13.4
2026-01-23T19:00,13.0
2026-01-23T20:00,12.7
2026-01-23T21:00,12.4
2026-01-23T22:00,12.0
2026-01-23T23:00,11.6
2026-01-24T00:00,11.3
2026-01-24T01:00,10.9
2026-01-24T02:00,10.7
2026-01-24T03:00,11.0
2026-01-24T04:00,12.4
2026-01-24T05:00,14.4
2026-01-24T06:00,16.1
2026-01-24T07:00,17.2
2026-01-24T08:00,18.0
2026-01-24T09:00,18.4
2026-01-24T10:00,18.4
2026-01-24T11:00,18.0
2026-01-24T12:00,17.2
2026-01-24T13:00,16.0
2026-01-24T14:00,14.4
2026-01-24T15:00,13.0
2026-01-24T16:00,11.9
2026-01-24T17:00,11.0
2026-01-24T18:00,10.4
2026-01-24T19:00,10.0
2026-01-24T20:00,9.8
2026-01-24T21:00,9.6
2026-01-24T22:00,9.3
2026-01-24T23:00,9.1
2026-01-25T00:00,8.9
2026-01-25T01:00,8.6
2026-01-25T02:00,8.4
2026-01-25T03:00,9.0
2026-01-25T04:00,10.8
2026-01-25T05:00,13.3
2026-01-25T06:00,15.4
2026-01-25T07:00,16.8
2026-01-25T08:00,17.8
2026-01-25T09:00,18.3
2026-01-25T10:00,18.2
2026-01-25T11:00,17.5
2026-01-25T12:00,16.7
2026-01-25T13:00,15.8
2026-01-25T14:00,14.7
2026-01-25T15:00,13.8
2026-01-25T16:00,13.0
2026-01-25T17:00,12.2
2026-01-25T18:00,11.6
2026-01-25T19:00,11.1
2026-01-25T20:00,10.8
2026-01-25T21:00,10.5
2026-01-25T22:00,10.3
2026-01-25T23:00,10.1
